Host Name,Operating System,IP Address,Fdqn
host001,Windows 11 (Workstation),192.168.163.23,host001.corp.local
host002,Ubuntu 22.04 (Workstation),192.168.12.141,host002.corp.local
host003,CentOS 7 (Server),192.168.250.19,host003.corp.local
host004,Windows Server 2019 (Server),192.168.180.118,host004.corp.local
host005,Windows Server 2019 (Server),192.168.206.60,host005.corp.local
host006,Ubuntu 20.04 (Workstation),192.168.103.55,host006.corp.local
host007,CentOS 7 (Workstation),192.168.116.120,host007.corp.local
host008,Windows Server 2019 (Server),192.168.226.199,host008.corp.local
host009,Debian 11 (Server),192.168.84.71,host009.corp.local
host010,Ubuntu 22.04 (Workstation),192.168.240.117,host010.corp.local
host011,CentOS 7 (Workstation),192.168.178.18,host011.corp.local
host012,Debian 11 (Workstation),192.168.222.184,host012.corp.local
host013,CentOS 7 (Workstation),192.168.101.139,host013.corp.local
host014,Ubuntu 22.04 (Workstation),192.168.32.139,host014.corp.local
host015,Debian 11 (Server),192.168.177.5,host015.corp.local
host016,Ubuntu 22.04 (Server),192.168.217.59,host016.corp.local
host017,Windows 11 (Workstation),192.168.176.185,host017.corp.local
host018,Ubuntu 20.04 (Workstation),192.168.50.243,host018.corp.local
host019,Windows Server 2022 (Server),192.168.140.153,host019.corp.local
host020,Debian 11 (Workstation),192.168.125.180,host020.corp.local
host021,Windows Server 2022 (Server),192.168.157.167,host021.corp.local
host022,Ubuntu 22.04 (Server),192.168.12.9,host022.corp.local
host023,Windows Server 2019 (Server),192.168.252.150,host023.corp.local
host024,CentOS 7 (Server),192.168.199.137,host024.corp.local
host025,Debian 11 (Server),192.168.93.73,host025.corp.local
host026,CentOS 7 (Workstation),192.168.99.188,host026.corp.local
host027,Ubuntu 22.04 (Workstation),192.168.72.136,host027.corp.local
host028,Windows 11 (Server),192.168.208.180,host028.corp.local
host029,CentOS 7 (Workstation),192.168.191.171,host029.corp.local
host030,Ubuntu 20.04 (Workstation),192.168.144.225,host030.corp.local
host031,Windows Server 2022 (Server),192.168.162.104,host031.corp.local
host032,Windows 11 (Workstation),192.168.68.233,host032.corp.local
host033,Debian 11 (Server),192.168.172.128,host033.corp.local
host034,Windows Server 2022 (Server),192.168.132.1,host034.corp.local
host035,Windows 11 (Workstation),192.168.42.41,host035.corp.local
host036,Windows 11 (Workstation),192.168.63.166,host036.corp.local
host037,Windows 10 (Workstation),192.168.94.186,host037.corp.local
host038,Windows 11 (Workstation),192.168.39.48,host038.corp.local
host039,Debian 11 (Workstation),192.168.147.30,host039.corp.local
host040,Ubuntu 22.04 (Workstation),192.168.89.54,host040.corp.local
host041,Ubuntu 20.04 (Workstation),192.168.77.24,host041.corp.local
host042,Windows 10 (Workstation),192.168.147.125,host042.corp.local
host043,CentOS 7 (Workstation),192.168.180.124,host043.corp.local
host044,Ubuntu 22.04 (Workstation),192.168.211.4,host044.corp.local
host045,CentOS 7 (Workstation),192.168.147.70,host045.corp.local
host046,Windows Server 2022 (Server),192.168.16.158,host046.corp.local
host047,Debian 11 (Workstation),192.168.146.174,host047.corp.local
host048,Ubuntu 22.04 (Workstation),192.168.46.134,host048.corp.local
host049,Windows 11 (Server),192.168.156.68,host049.corp.local
host050,Debian 11 (Server),192.168.169.58,host050.corp.local
host051,CentOS 7 (Server),192.168.250.244,host051.corp.local
host052,Windows 10 (Workstation),192.168.159.215,host052.corp.local
host053,Ubuntu 20.04 (Workstation),192.168.184.202,host053.corp.local
host054,Windows 11 (Workstation),192.168.129.135,host054.corp.local
host055,Windows Server 2019 (Server),192.168.240.6,host055.corp.local
host056,CentOS 7 (Server),192.168.73.123,host056.corp.local
host057,Debian 11 (Workstation),192.168.105.44,host057.corp.local
host058,CentOS 7 (Workstation),192.168.245.153,host058.corp.local
host059,Windows Server 2019 (Server),192.168.88.191,host059.corp.local
host060,Windows Server 2022 (Server),192.168.80.201,host060.corp.local
host061,CentOS 7 (Workstation),192.168.3.123,host061.corp.local
host062,Windows 11 (Workstation),192.168.221.118,host062.corp.local
host063,Debian 11 (Workstation),192.168.89.100,host063.corp.local
host064,Windows 11 (Workstation),192.168.158.130,host064.corp.local
host065,Ubuntu 22.04 (Workstation),192.168.17.234,host065.corp.local
host066,Windows Server 2019 (Server),192.168.149.171,host066.corp.local
host067,Ubuntu 22.04 (Workstation),192.168.102.211,host067.corp.local
host068,Debian 11 (Workstation),192.168.205.9,host068.corp.local
host069,Windows 11 (Server),192.168.47.67,host069.corp.local
host070,Windows Server 2022 (Server),192.168.91.121,host070.corp.local
host071,CentOS 7 (Workstation),192.168.197.207,host071.corp.local
host072,Windows 10 (Server),192.168.136.222,host072.corp.local
host073,Debian 11 (Workstation),192.168.23.10,host073.corp.local
host074,Ubuntu 20.04 (Workstation),192.168.204.180,host074.corp.local
host075,Windows Server 2022 (Server),192.168.235.189,host075.corp.local
host076,Ubuntu 20.04 (Server),192.168.227.127,host076.corp.local
host077,Ubuntu 20.04 (Workstation),192.168.203.193,host077.corp.local
host078,CentOS 7 (Server),192.168.56.138,host078.corp.local
host079,Windows 10 (Server),192.168.129.214,host079.corp.local
host080,Ubuntu 22.04 (Workstation),192.168.7.81,host080.corp.local
host081,Ubuntu 20.04 (Workstation),192.168.248.72,host081.corp.local
host082,Windows Server 2019 (Server),192.168.115.189,host082.corp.local
host083,CentOS 7 (Workstation),192.168.45.168,host083.corp.local
host084,Ubuntu 20.04 (Workstation),192.168.130.112,host084.corp.local
host085,Windows 11 (Workstation),192.168.237.191,host085.corp.local
host086,Windows 10 (Server),192.168.195.119,host086.corp.local
host087,Windows Server 2022 (Server),192.168.114.199,host087.corp.local
host088,Windows Server 2022 (Server),192.168.37.224,host088.corp.local
host089,Debian 11 (Server),192.168.53.180,host089.corp.local
host090,CentOS 7 (Server),192.168.73.113,host090.corp.local
host091,Windows 11 (Workstation),192.168.14.40,host091.corp.local
host092,Ubuntu 22.04 (Workstation),192.168.190.46,host092.corp.local
host093,Windows 10 (Workstation),192.168.76.103,host093.corp.local
host094,Ubuntu 22.04 (Workstation),192.168.193.108,host094.corp.local
host095,Windows Server 2022 (Server),192.168.240.153,host095.corp.local
host096,Windows 10 (Server),192.168.42.214,host096.corp.local
host097,Windows Server 2019 (Server),192.168.13.146,host097.corp.local
host098,CentOS 7 (Server),192.168.144.172,host098.corp.local
host099,Windows Server 2022 (Server),192.168.228.184,host099.corp.local
host100,Debian 11 (Workstation),192.168.209.34,host100.corp.local
host101,Windows Server 2022 (Server),192.168.26.39,host101.corp.local
host102,Ubuntu 22.04 (Server),192.168.140.242,host102.corp.local
host103,Ubuntu 20.04 (Workstation),192.168.58.155,host103.corp.local
host104,CentOS 7 (Server),192.168.243.94,host104.corp.local
host105,Windows Server 2022 (Server),192.168.252.18,host105.corp.local
host106,Ubuntu 20.04 (Workstation),192.168.35.74,host106.corp.local
host107,Windows 10 (Workstation),192.168.202.24,host107.corp.local
host108,Ubuntu 20.04 (Server),192.168.193.248,host108.corp.local
